"""","販売農家数(戸)","専業農家(戸)","第1種兼業農家(戸)","第2種兼業農家(戸)","第2種兼業農家_農業主(戸)","第2種兼業農家_恒常的勤務(戸)","第2種兼業農家_日雇･出稼(戸)","第2種兼業農家_自営兼業(戸)","第2種兼業農家_その他(戸)"
"平成 7年(1995年)","31726.0","9041.0","7921.0","14764.0","2234.0","8066.0","839.0","2014.0","1611.0"
"平成12年(2000年)","28681.0","8649.0","6091.0","13941.0","3818.0","5814.0","520.0","1597.0","2192.0"
"平成17年(2005年)","25594.0","9250.0","5408.0","10936.0","3171.0","4684.0","341.0","1065.0","1675.0"
"平成22年(2010年)","23207.0","9644.0","3854.0","9709.0","…","…","…","…","…"
"","","","","","","","","",""
" 和歌山市","2500.0","780.0","300.0","1420.0","…","…","…","…","…"
" 海 南 市","1438.0","702.0","210.0","526.0","…","…","…","…","…"
" 橋 本 市","1187.0","374.0","117.0","696.0","…","…","…","…","…"
" 有 田 市","945.0","392.0","243.0","310.0","…","…","…","…","…"
" 御 坊 市","653.0","315.0","100.0","238.0","…","…","…","…","…"
" 田 辺 市","2367.0","1087.0","444.0","836.0","…","…","…","…","…"
" 新 宮 市","116.0","60.0","4.0","52.0","…","…","…","…","…"
" 紀の川市","3301.0","1349.0","554.0","1398.0","…","…","…","…","…"
" 岩 出 市","571.0","170.0","52.0","349.0","…","…","…","…","…"
"","","","","","","","","",""
" 紀美野町","506.0","231.0","57.0","218.0","…","…","…","…","…"
"","","","","","","","","",""
" かつらぎ町","1172.0","477.0","241.0","454.0","…","…","…","…","…"
" 九度山町","293.0","89.0","74.0","130.0","…","…","…","…","…"
" 高 野 町","48.0","29.0","3.0","16.0","…","…","…","…","…"
"","","","","","","","","",""
" 湯 浅 町","374.0","165.0","112.0","97.0","…","…","…","…","…"
" 広 川 町","414.0","170.0","89.0","155.0","…","…","…","…","…"
" 有田川町","2188.0","1064.0","410.0","714.0","…","…","…","…","…"
"","","","","","","","","",""
" 美 浜 町","117.0","55.0","19.0","43.0","…","…","…","…","…"
" 日 高 町","443.0","165.0","55.0","223.0","…","…","…","…","…"
" 由 良 町","223.0","85.0","42.0","96.0","…","…","…","…","…"
" 印 南 町","787.0","352.0","136.0","299.0","…","…","…","…","…"
" みなべ町","1417.0","631.0","331.0","455.0","…","…","…","…","…"
" 日高川町","810.0","300.0","119.0","391.0","…","…","…","…","…"
"","","","","","","","","",""
" 白 浜 町","429.0","187.0","50.0","192.0","…","…","…","…","…"
" 上富田町","364.0","147.0","48.0","169.0","…","…","…","…","…"
" すさみ町","140.0","63.0","18.0","59.0","…","…","…","…","…"
"","","","","","","","","",""
" 那智勝浦町","183.0","95.0","8.0","80.0","…","…","…","…","…"
" 太 地 町","5.0","0.0","2.0","3.0","…","…","…","…","…"
" 古座川町","112.0","55.0","6.0","51.0","…","…","…","…","…"
" 北 山 村","3.0","0.0","1.0","2.0","…","…","…","…","…"
" 串 本 町","101.0","55.0","9.0","37.0","…","…","…","…","…"
